id,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,time_stamp
bitcoin,Bitcoin,100645.0,1993841928091,51101828302.0,102512.0,98724.0,1.22481,2025-01-07T12:32:19.631Z,07-01-2025_18-11-46
ethereum,Ethereum,3627.83,437202843968,20963144455.0,3737.69,3622.05,-0.66138,2025-01-07T12:32:12.614Z,07-01-2025_18-11-46
ripple,XRP,2.42,139106103362,4753242777.0,2.46,2.38,1.26314,2025-01-07T12:32:16.768Z,07-01-2025_18-11-46
tether,Tether,0.999138,137427238131,79315930023.0,1.007,0.997141,0.00304,2025-01-07T12:32:19.837Z,07-01-2025_18-11-46
binancecoin,BNB,724.08,105618004890,1229532976.0,742.2,712.7,0.84464,2025-01-07T12:32:07.190Z,07-01-2025_18-11-46
solana,Solana,212.92,103061173714,4033427113.0,222.24,212.86,-1.70609,2025-01-07T12:32:16.411Z,07-01-2025_18-11-46
dogecoin,Dogecoin,0.384703,56820463806,3337006439.0,0.396807,0.382837,-0.55416,2025-01-07T12:32:08.191Z,07-01-2025_18-11-46
usd-coin,USDC,0.999379,45745164639,9746427482.0,1.006,0.99733,-0.07465,2025-01-07T12:32:14.720Z,07-01-2025_18-11-46
cardano,Cardano,1.13,40592260119,1747280794.0,1.15,1.067,4.89435,2025-01-07T12:32:20.061Z,07-01-2025_18-11-46
staked-ether,Lido Staked Ether,3626.0,34947323653,46885690.0,3735.88,3621.07,-0.68715,2025-01-07T12:32:15.839Z,07-01-2025_18-11-46
tron,TRON,0.268469,23134692314,901372467.0,0.271332,0.26384,1.75439,2025-01-07T12:32:18.804Z,07-01-2025_18-11-46
avalanche-2,Avalanche,42.94,17628868667,483680560.0,44.97,42.93,-3.04676,2025-01-07T12:32:18.434Z,07-01-2025_18-11-46
sui,Sui,5.09,15339005534,1216657676.0,5.34,5.03,-1.65738,2025-01-07T12:32:18.475Z,07-01-2025_18-11-46
wrapped-steth,Wrapped stETH,4320.69,15187211360,31487808.0,4436.09,4313.08,-0.81418,2025-01-07T12:32:19.999Z,07-01-2025_18-11-46
chainlink,Chainlink,23.09,14573096619,1083857417.0,24.63,23.09,-2.9083,2025-01-07T12:32:18.812Z,07-01-2025_18-11-46
the-open-network,Toncoin,5.67,14427186101,198673678.0,5.79,5.65,-0.50016,2025-01-07T12:32:18.994Z,07-01-2025_18-11-46
