id,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,time_stamp
bitcoin,Bitcoin,96220.0,1905561151414,46523546812.0,98955.0,95134.0,-2.74876,2024-12-27T02:34:22.155Z,27-12-2024 08-11-14
ethereum,Ethereum,3375.04,406665029917,22699382744.0,3472.84,3306.5,-2.81624,2024-12-27T02:34:22.636Z,27-12-2024 08-11-14
tether,Tether,0.998218,139189985517,61176528406.0,1.002,0.995964,-0.08686,2024-12-27T02:34:13.799Z,27-12-2024 08-11-14
ripple,XRP,2.18,125160383313,4960773534.0,2.28,2.13,-4.39501,2024-12-27T02:34:12.933Z,27-12-2024 08-11-14
binancecoin,BNB,692.61,101125323365,1261059129.0,716.37,683.71,-2.23162,2024-12-27T02:34:21.272Z,27-12-2024 08-11-14
solana,Solana,189.88,91045577575,3569666206.0,198.41,187.14,-4.30096,2024-12-27T02:34:13.895Z,27-12-2024 08-11-14
dogecoin,Dogecoin,0.315609,46497812223,2569114812.0,0.332574,0.309857,-5.10135,2024-12-27T02:34:21.741Z,27-12-2024 08-11-14
usd-coin,USDC,1.0,43526433081,7696588158.0,1.003,0.996854,0.10011,2024-12-27T02:34:14.506Z,27-12-2024 08-11-14
staked-ether,Lido Staked Ether,3371.38,32622268550,122827986.0,3466.26,3301.12,-2.68269,2024-12-27T02:34:20.271Z,27-12-2024 08-11-14
cardano,Cardano,0.870917,31227029164,855401364.0,0.913623,0.852086,-4.6744,2024-12-27T02:34:20.906Z,27-12-2024 08-11-14
tron,TRON,0.255365,22020467804,998543022.0,0.257552,0.249297,-0.77816,2024-12-27T02:34:14.243Z,27-12-2024 08-11-14
avalanche-2,Avalanche,37.69,15452319954,436462822.0,40.04,37.06,-5.87063,2024-12-27T02:34:21.175Z,27-12-2024 08-11-14
the-open-network,Toncoin,5.76,14713757160,249334581.0,5.95,5.66,-2.93014,2024-12-27T02:34:19.439Z,27-12-2024 08-11-14
chainlink,Chainlink,23.16,14633670305,959076295.0,24.21,22.45,-4.32433,2024-12-27T02:34:21.042Z,27-12-2024 08-11-14
