id,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,time_stamp
fartcoin,Fartcoin,0.956067,954266332,143374284.0,1.17,0.889771,-18.2108,2024-12-27T02:34:21.728Z,27-12-2024 08-11-14
movement,Movement,1.021,2281871856,1287771134.0,1.2,1.015,-14.96599,2024-12-27T02:34:10.342Z,27-12-2024 08-11-14
dash,Dash,41.32,499449691,119595000.0,45.59,40.61,-9.36643,2024-12-27T02:34:22.584Z,27-12-2024 08-11-14
virtual-protocol,Virtuals Protocol,2.96,2970647052,371792992.0,3.26,2.84,-9.07613,2024-12-27T02:34:14.364Z,27-12-2024 08-11-14
safe,Safe,1.055,542702043,22644872.0,1.15,1.042,-8.58858,2024-12-27T02:34:12.027Z,27-12-2024 08-11-14
turbo,Turbo,0.01029448,710667702,141734502.0,0.01125528,0.00992833,-8.53641,2024-12-27T02:34:14.024Z,27-12-2024 08-11-14
mog-coin,Mog Coin,2.23e-06,870712844,40154079.0,2.48e-06,2.18e-06,-8.2386,2024-12-27T02:34:11.042Z,27-12-2024 08-11-14
superfarm,SuperVerse,1.6,720693212,29302441.0,1.74,1.57,-8.12988,2024-12-27T02:34:14.650Z,27-12-2024 08-11-14
aethir,Aethir,0.067804,385963419,39683116.0,0.073633,0.067296,-7.91527,2024-12-27T02:34:19.872Z,27-12-2024 08-11-14
bonk,Bonk,3.076e-05,2328957349,292480721.0,3.336e-05,3.02e-05,-7.79832,2024-12-27T02:34:20.536Z,27-12-2024 08-11-14
